class_id,name,iou,f1
5,Winter rapeseed,0.8929360820520233,0.9434402888913634
9,Beet,0.8890355171484114,0.9412586572119646
3,Corn,0.8810406616231066,0.9367587629529252
2,Soft winter wheat,0.8681959709482973,0.9294484994607932
1,Meadow,0.8617301954607693,0.9257304818515824
15,Soybeans,0.8501295047265939,0.9189945920593523
8,Grapevine,0.8357486116822216,0.9105262086145534
4,Winter barley,0.787786788805782,0.8812983670519382
11,Winter durum wheat,0.7179561514767168,0.8358259328791107
7,Sunflower,0.6804856573520552,0.8098678550155529
6,Spring barley,0.6008513013746424,0.7506647255228448
16,Orchard,0.5949878643636449,0.7460719641287406
13,Potatoes,0.5722703076110366,0.7279540990385609
12,"Fruits, vegetables, flowers",0.5095817687427165,0.6751297336707124
10,Winter triticale,0.457140836103841,0.6274490766811006
18,Sorghum,0.4068548387096774,0.5783892232731441
14,Leguminous fodder,0.40592684479768154,0.5774508770491483
17,Mixed cereal,0.4017380746988722,0.5731999179449776
