class_id,name,iou,f1
2,Soft winter wheat,0.5210099172213766,0.685084181664209
3,Corn,0.518291648695669,0.682730026396341
5,Winter rapeseed,0.37072468143451953,0.5409177881681403
1,Meadow,0.2693973398297991,0.42444919549921206
9,Beet,0.221053087382004,0.3620695769353523
4,Winter barley,0.18536669172124987,0.31275839453879406
15,Soybeans,0.1319079352240958,0.23307184466019418
10,Winter triticale,0.09495077461537636,0.17343386902252247
7,Sunflower,0.022803648583773404,0.04459047172025346
6,Spring barley,0.017922314911366005,0.035213521992445096
18,Sorghum,0.006836789840616937,0.013580731076978636
17,Mixed cereal,0.006594135781135518,0.01310187601285467
12,"Fruits, vegetables, flowers",0.0026771481071345997,0.005340000242727284
13,Potatoes,0.002315410342166195,0.004620123203285421
8,Grapevine,0.0016624308838666777,0.0033193435884377714
14,Leguminous fodder,0.0009921967085925727,0.0019824264601763317
11,Winter durum wheat,0.00029331468152794387,0.0005864573465060676
16,Orchard,0.0,0.0
