space,silhouette,f1_macro_mean,f1_macro_std,n_dims,n_samples,delta_vs_0163,delta_vs_alphaearth_here
farslip_pheno (fiel v2),0.012034,0.555056,0.020472,768,567,-0.150966,-0.002425
alphaearth_2019,0.014459,0.644642,0.041515,64,567,-0.148541,0.0
