feature,f_value
ae_22,44.447394127227255
ae_29,18.648694174995597
ae_24,15.96311736790085
ae_31,15.864503174659745
ae_06,13.282658674483248
ae_47,11.764734582967357
ae_00,10.659124462847442
ae_32,9.161339646455017
ae_36,7.087499672453886
ae_17,6.7744717442742735
