year_a,year_b,n_pixels,cos_sim_mean,cos_sim_p05,cos_sim_p50,cos_sim_p95,cos_sim_min
2022,2023,500,0.9514329816430029,0.8509559425065242,0.9684925612793778,0.997604512630873,0.5574783465245482
2023,2024,500,0.9558465654795322,0.8467025283348893,0.9733671502237331,0.9956762450936449,0.6439747973967097
2024,2025,500,0.9563752477640496,0.8451847465944338,0.9771541501300618,0.9970984321943451,0.6248944548538761
