fuente,n_features,n_samples,n_classes,f1_macro_mean,f1_macro_std
"AlphaEarth 64-dim (pixel-level, n=6000)",64,6000,13,0.7398,0.0363
"Spectral-temporal manual (parcel-level, n=77)",185,77,17,0.1682,0.0088
