clase (france-10),support,Voting-3,Stacking-5
Meadow,6128,0.962,0.96
Soft winter wheat,1584,0.931,0.939
Corn,2196,0.954,0.956
Winter barley,573,0.849,0.847
Winter rapeseed,387,0.945,0.907
Sunflower,313,0.844,0.786
Grapevine,2067,0.945,0.948
Beet,167,0.945,0.942
Winter durum wheat,355,0.827,0.813
Soybeans,209,0.866,0.829
