class_id,name,support,precision,recall,f1,iou,ap
4,Winter rapeseed,387,0.9472295514511874,0.9276485788113695,0.9373368146214099,0.8820638820638821,0.9724494657529871
2,Corn,2196,0.946753853339561,0.9230418943533698,0.934747521328107,0.8774891774891775,0.9691205727959653
7,Grapevine,2067,0.9265206812652068,0.9211417513304305,0.9238233867054828,0.8584310189359784,0.9701167495806282
8,Beet,167,0.9069767441860465,0.9341317365269461,0.9203539823008849,0.8524590163934426,0.9658878475608247
0,Meadow,6128,0.9479841612670986,0.8594973890339426,0.9015748031496063,0.8207885304659498,0.9652034376700945
1,Soft winter wheat,1584,0.9360824742268041,0.8598484848484849,0.8963474827245804,0.8121645796064401,0.9542735740771755
14,Soybeans,209,0.8551401869158879,0.8755980861244019,0.8652482269503546,0.7625,0.9031966178674292
3,Winter barley,573,0.8687615526802218,0.8202443280977313,0.8438061041292639,0.7298136645962733,0.9096311045732182
6,Sunflower,313,0.7781155015197568,0.8178913738019169,0.7975077881619937,0.6632124352331606,0.8539422404882054
10,Winter durum wheat,355,0.7245370370370371,0.8816901408450705,0.795425667090216,0.6603375527426161,0.8507815706016744
15,Orchard,511,0.7236363636363636,0.7788649706457925,0.7502356267672008,0.6003016591251885,0.813987029651793
11,"Fruits, vegetables, flowers",576,0.7334525939177102,0.7118055555555556,0.7224669603524229,0.5655172413793104,0.7938364811771393
5,Spring barley,198,0.5850622406639004,0.7121212121212122,0.642369020501139,0.47315436241610737,0.6805804025459319
9,Winter triticale,214,0.541095890410959,0.7383177570093458,0.6245059288537549,0.4540229885057471,0.5895115617058541
13,Leguminous fodder,660,0.4580712788259958,0.6621212121212121,0.5415117719950434,0.37128292268479185,0.5708200258275778
17,Sorghum,206,0.3980891719745223,0.6067961165048543,0.4807692307692308,0.31645569620253167,0.5128301371628546
16,Mixed cereal,193,0.3874538745387454,0.5440414507772021,0.4525862068965517,0.2924791086350975,0.5248318860996309
12,Potatoes,103,0.34594594594594597,0.6213592233009708,0.4444444444444444,0.2857142857142857,0.6391206606725865
