feature,importance,rank
RENDVI_p05,2.5290322303771973,170
NDRE_p05,2.499953508377075,171
NDMI_min,2.4935665130615234,172
CCCI_min,2.493515968322754,173
TSAVI_min,2.457125425338745,174
NDVI_min,2.443185806274414,175
TSAVI_p05,2.3782262802124023,176
CCCI_std,2.3490641117095947,177
FAPAR_max,2.3260717391967773,178
PSRI_min,2.3159847259521484,179
FAPAR_mean,2.2333288192749023,180
CCCI_mean,2.1350979804992676,181
LAI_min,2.04722261428833,182
NDVI_fft_phase_0,0.0,183
NDWI_fft_phase_0,0.0,184
EVI_fft_phase_0,0.0,185
