model,miou,f1_macro,pixel_accuracy,fold,n_patches,status,model_kind,needs_resize,in_channels,cohen_kappa,balanced_acc
tsvit-pheno,0.613880322494697,0.7401025214888479,0.8637276538908303,5,496,ok,tsvit-pheno,false,10,0.8310295273509701,0.7182519307178414
segformer,0.2714806320088692,0.3776510663388944,0.6394588033624449,5,496,ok,segformer,true,3,0.5537542661564303,0.37562978095964195
deeplabv3plus,0.2540018799451391,0.3614179620257606,0.6539396180046669,5,496,ok,deeplabv3plus,false,10,0.5676145796304428,0.36138437993567263
unet,0.2055941396343569,0.28465596332983734,0.6393644589271665,5,496,ok,unet,false,10,0.5494361442922223,0.2971902433953532
anysat,0.16842830194489952,0.22400103962975468,0.6994054767469629,5,496,ok,anysat,false,10,0.5926191573577926,0.22875788336565947
utae,0.1604758950756845,0.22397648190017577,0.6010103440342486,5,496,ok,utae,false,10,0.5080400357128282,0.22282976107137634
