modelo,miou_fold5,f1_macro_fold5,pixel_acc_fold5,delta_miou,delta_f1_macro,nota
tsvit-base-fullm (US-038),0.6789,0.7942,0.8878,0.0,0.0,baseline US-038 (sin rama fenologica)
tsvit-pheno-fullm (US-039),0.6756,0.7918,0.8885,-0.0033,-0.0024,"Delta esperado ~0 (saturacion supervisada, plan v8): en supervisado el modelo aprende las firmas temporales desde las etiquetas densas; la rama fenologica contrastiva aporta poco. El valor real de la fenologia esta en el self-supervised/zero-shot de FarSLIP (US-036-a), no aqui. Se reporta el delta tal cual; >= +0.03 seria SOSPECHA, < 0 es valido."
