feature_set,model,n_features,f1_macro,f1_weighted,miou,delta_vs_full
full,xgb,636,0.4332,0.7109,0.3263,
no_geom,xgb,636,0.4332,0.7109,0.3263,0.0
no_geom_no_era5_srtm,xgb,636,0.4332,0.7109,0.3263,0.0
alphaearth_only,xgb,64,0.3524,0.6521,0.2577,-0.0809
phenology_only,xgb,32,0.2856,0.5723,0.1963,-0.1477
with_pheno_text,xgb,416,0.2879,0.5725,0.1978,-0.1453
pheno_text_only,xgb,384,0.0355,0.1971,0.0233,-0.3978
with_spectral_signature,xgb,35,0.2856,0.5723,0.1963,-0.1477
spectral_signature_only,xgb,3,NaN,NaN,NaN,
