modelo,f1_macro,f1_weighted,accuracy,cohen_kappa,mIoU
dummy,0.0984,0.2259,0.2256,-0.0159,0.0566
random_forest,0.4195,0.6097,0.6573,0.5087,0.3102
xgboost,0.4202,0.6037,0.6395,0.4895,0.2975
