feature,importance,rank
FAPAR_p50,0.30742573738098145,170
FAPAR_p05,0.1746068000793457,171
FAPAR_p75,0.12223267555236816,172
FAPAR_min,0.0,173
TSAVI_mean,0.0,174
TSAVI_std,0.0,175
TSAVI_p75,0.0,176
TSAVI_p95,0.0,177
NDVI_fft_phase_0,0.0,178
TSAVI_min,0.0,179
TSAVI_max,0.0,180
TSAVI_p05,0.0,181
TSAVI_p25,0.0,182
TSAVI_p50,0.0,183
NDWI_fft_phase_0,0.0,184
EVI_fft_phase_0,0.0,185
